City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,melekeok village,7.4957,134.6367,26.31,94,75,2.57,PW,1732906176
310,prado,-17.3411,-39.2208,27.41,74,100,6.66,BR,1732906177
311,inhambane,-23.865,35.3833,21.79,75,11,5.19,MZ,1732906178
312,flying fish cove,-10.4217,105.6791,27.72,79,100,3.4,CX,1732906179
313,kiruna,67.8557,20.2251,-6.49,58,6,8.23,SE,1732906181
314,suzun,53.7841,82.3116,-4.82,99,95,1.38,RU,1732906182
315,kyren,51.6828,102.1408,-7.59,77,96,0.6,RU,1732906183
316,kenora,49.8167,-94.4337,-10.46,85,75,4.12,CA,1732905889
317,kerikeri,-35.2268,173.9474,15.51,93,99,1.45,NZ,1732906185
318,laguna,38.421,-121.4238,10.69,75,98,0.89,US,1732906186
319,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-1.91,97,100,5.8,RU,1732906188
320,letlhakeng,-24.0944,25.0298,22.78,24,0,2.45,BW,1732906189
321,al bawiti,28.3492,28.8659,14.83,54,0,2.79,EG,1732906190
322,mar del plata,-38.0023,-57.5575,20.53,58,0,5.66,AR,1732906191
323,konosha,60.9736,40.257,-0.02,91,100,4.93,RU,1732906192
324,ploudalmezeau,48.5333,-4.65,13.94,91,100,6.17,FR,1732906194
325,karagay,58.2667,54.9368,-3.71,90,100,4.03,RU,1732906195
326,kristiansund,63.1115,7.732,5.63,93,75,2.57,NO,1732906196
327,vila velha,-20.3297,-40.2925,31.97,77,20,6.69,BR,1732906198
328,bich'vinta,43.1592,40.3378,9.21,69,8,1.02,GE,1732906199
329,demirci,39.0461,28.6589,6.29,68,3,1.36,TR,1732906200
330,yasynuvata,48.1298,37.8594,-0.47,66,9,1.66,UA,1732906202
331,iacu,-12.7672,-40.2117,35.06,29,86,1.46,BR,1732906204
332,prince george,53.9166,-122.753,-1.31,91,100,8.75,CA,1732906171
333,ciudad rio bravo,25.9833,-98.1,14.95,38,100,5.69,MX,1732906206
334,bubaque,11.2833,-15.8333,28.63,61,0,4.99,GW,1732906207
335,kattivakkam,13.2167,80.3167,24.05,99,100,8.9,IN,1732906208
336,homer,59.6425,-151.5483,-6.79,45,0,3.09,US,1732906210
337,stephenville,32.2207,-98.2023,12.36,31,0,3.6,US,1732905638
338,al bardiyah,31.7561,25.0865,16.66,72,0,1.52,LY,1732906212
339,puerto carreno,6.189,-67.4859,34.99,49,20,5.81,CO,1732906213
340,floro,61.5996,5.0328,5.98,93,75,6.69,NO,1732906214
341,amos,48.5669,-78.1162,-3.48,87,100,2.37,CA,1732906215
342,leitchfield,37.48,-86.2939,4.54,56,6,2.24,US,1732906217
343,suzemka,52.3178,34.0689,-5.61,92,61,2.38,RU,1732906218
344,karungdong,5.8844,121.263,27.31,81,81,1.78,PH,1732906219
345,jijel,36.8205,5.7667,14.97,94,0,2.06,DZ,1732906220
346,vilyuysk,63.7553,121.6247,-19.84,96,100,2.99,RU,1732906223
347,vila franca do campo,37.7167,-25.4333,19.23,99,100,7.45,PT,1732905667
348,koszalin,54.1944,16.1722,3.33,83,48,2.57,PL,1732906226
349,saudarkrokur,65.7461,-19.6394,-13.34,75,100,1.29,IS,1732906227
350,hanceville,34.0607,-86.7675,8.42,38,0,5.28,US,1732906228
351,orenburg,51.7727,55.0988,-10.99,68,8,0.81,RU,1732906230
352,longboat key,27.4125,-82.659,24.53,77,100,1.79,US,1732906232
353,whangarei,-35.7317,174.3239,16.69,88,100,1.23,NZ,1732906233
354,nazilli,37.9163,28.3223,11.44,58,7,0.64,TR,1732906236
355,pisco,-13.7,-76.2167,22.23,83,65,4.63,PE,1732905690
356,dwarka,22.2394,68.9678,25.29,50,1,2.82,IN,1732905664
357,palmwoods,-26.6833,152.9667,24.24,99,100,0.42,AU,1732906239
358,shendi,16.6915,33.4341,23.8,23,3,5.48,SD,1732906240
359,harstad,68.799,16.5293,-2.14,92,100,19.22,NO,1732906241
